link,name,address,price,is_negotiable,emi_price,emi_rate,carpet_area,carpet_area_unit,no_of_bedrooms,posted_on,no_of_bathroom,balcony,apartment,parking,power_backup,age_of_building,ownership_type,maintenance_charges,flooring,buildup_area,carpet_area_2,furnish_status,facing,floor,parking_2,gated_security,amenities
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-lohegaon-pune/8a9fa9899829b35a01982a8ef0100495/detail,2 BHK Flat In Pratham Yash Residency Phase 1 For Sale  In Lohegaon,"05, Porwal Rd, Lohegaon, Pune, Maharashtra 411047, India",60 Lacs,1,"34,388",Month,839,Sq.Ft,2,"Jul 21, 2025 ",2,NA,Pratham yash residency phase 1,Bike and Car,None ,5-10 years,Self Owned, ₹3.8 per sq.ft/m,NA,839 sq.ft,645 sq.ft,Semi,East,7/8,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', ""Children's play area"", 'Security', 'Park']"
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-lohegaon-pune/8a9fa98496d3d8560196d3efbf360717/detail,"3 BHK Flat In Pride Purple Park Springs,  For Sale  In Lohegaon","Nimbalkar Nagar, Lohegaon, Pune, Maharashtra 411047",99 Lacs,1,"56,741",Month,"1,360",Sq.Ft,3,"May 15, 2025 ",3,2,"Pride Purple Park Springs, ",Bike and Car,Partial ,5-10 years,Self Owned, ₹2.6 per sq.ft/m,VitrifiedTiles,"1,360 sq.ft",980 sq.ft,Fully furnished,East,5/9,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']"
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-bhugaon-pune/8a9f938697c388ed0197c56959de1b37/detail,"2 BHK Flat In Delta High, Bhugaon For Sale  In Bhugaon","GP2V+C5J, Siddhivinayak Vihar, Bhugaon, Bavdhan, Maharashtra 412115",75 Lacs,1,"42,985",Month,960,Sq.Ft,2,"Jul 1, 2025 ",2,1,"Delta High, Bhugaon",Bike and Car,Partial ,3-5 years,Self Owned, ₹3.2 per sq.ft/m,VitrifiedTiles,960 sq.ft,708 sq.ft,Unfurnished,East,5/11,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Visitor parking']"
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-dhanori-pune/8a9f8c85977cc1b201977d02393e1ba3/detail,2 BHK Flat In Krishna Amorapolis For Sale  In Dhanori,Dr.  Mar Theophilus school ,72 Lacs,1,"41,266",Month,844,Sq.Ft,2,"Jun 17, 2025 ",2,1,Krishna Amorapolis,Bike and Car,Full ,1-3 years,Self Owned, ₹2.4 per sq.ft/m,VitrifiedTiles,844 sq.ft,704 sq.ft,Semi,North-East,1/16,Bike and Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Intercom', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Shopping center', 'Park', 'Visitor parking']"
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-bavdhan--pune/8a9f118588427a2e018842ebccad4b24/detail,4 BHK Flat In Unique Spaces K Pune For Sale  In Bavdhan ,"Near Marigold Banquets N Conventions,Pranjali Patil Nagar, Bavdhan,Pune",1.85 Crores,1,1.06 Lacs,Month,"2,164",Sq.Ft,4,"Mar 27, 2025 ",4,4,Unique Spaces K Pune,Bike and Car,Full ,Under Construction,Self Owned,NA,VitrifiedTiles,"2,164 sq.ft","1,515 sq.ft",Unfurnished,East,20/22,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']"
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-bavdhan-pune/8a9f118588427a2e018842e6876a479b/detail,3 BHK Flat In Unique Spaces K Pune For Sale  In Bavdhan,"Near Marigold Banquets N Conventions,Pranjali Patil Nagar, Bavdhan,Pune",1.13 Crores,1,"64,765",Month,"1,347",Sq.Ft,3,"May 24, 2023 ",3,3,Unique Spaces K Pune,Bike and Car,Full ,Under Construction,Self Owned,NA,VitrifiedTiles,"1,347 sq.ft",943 sq.ft,Unfurnished,East,20/22,Bike and Car,Yes,"['Lift', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']"
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-bavdhan-pune/8a9f118588427a2e018842e1f1614463/detail,2 BHK Flat In Unique Spaces K Pune For Sale  In Bavdhan,"Near Marigold Banquets N Conventions,Pranjali Patil Nagar, Bavdhan,Pune",90 Lacs,1,"51,583",Month,"1,160",Sq.Ft,2,"May 24, 2023 ",2,2,Unique Spaces K Pune,Bike and Car,Full ,Under Construction,Self Owned,NA,VitrifiedTiles,"1,160 sq.ft",812 sq.ft,Unfurnished,East,22/20,Bike and Car,Yes,"['Lift', 'Gym', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Park', 'Sewage treatment plant', 'Visitor parking']"
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-bavdhan-pune/8a9fde82842c35b901842c7ace3626cd/detail,2 BHK Flat In Puraniks Abitante For Sale  In Bavdhan,Puraniks Abitante,75 Lacs,1,"42,985",Month,925,Sq.Ft,2,"Feb 19, 2025 ",2,1,Puraniks Abitante,Bike and Car,Partial ,Under Construction,Self Owned, ₹2.7 per sq.ft/m,VitrifiedTiles,925 sq.ft,692 sq.ft,Semi,East,13/22,Bike and Car,Yes,"['Gym', 'Security']"
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-bhugaon-bavdhan-pune/8a9f8a8497a0c29d0197a10602aa1c43/detail,"2 BHK Flat In Skyi Songbirds For Sale  In Bhugaon, Bavdhan","Skyi Songbird, Pune Western Club",93 Lacs,1,"53,302",Month,950,Sq.Ft,2,"Jun 24, 2025 ",2,1,Skyi Songbirds,Car,Full ,5-10 years,Self Owned, ₹3.2 per sq.ft/m,VitrifiedTiles,950 sq.ft,870 sq.ft,Semi,Don't Know,4/11,Car,Yes,"['Gym', 'Security']"
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-lohegaon-pune/8a9f84859614aaa6019614de179c132d/detail,2 BHK Flat In Pride Aashiyana For Sale  In Lohegaon,"Porwal Rd Kutwal Colony, Lohegaon",70 Lacs,1,"40,120",Month,903,Sq.Ft,2,"Jun 1, 2025 ",2,2,Pride Aashiyana,Car,Partial ,>10 years,Self Owned, ₹4.4 per sq.ft/m,VitrifiedTiles,903 sq.ft,750 sq.ft,Semi,East,1/4,Car,Yes,"['Lift', 'Gym', 'Internet provider', 'Club house', 'Swimming pool', ""Children's play area"", 'Fire safety', 'Security', 'Gas pipeline', 'Park', 'Sewage treatment plant', 'Visitor parking']"
